brand_name,product_name,product_id,beauty_point_earned,price_range,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,price_clean,active_year,active_month,brand_name_encoded,default_category_encoded,price_clean_scaled,total_reviews_scaled,total_repurchase_yes_count_scaled,beauty_point_earned_scaled,brand_name_encoded_scaled,default_category_encoded_scaled,Cluster,Segment_Name
796_3ce,Waterproof Mega Volume Mascara,107427,70,Rp 352.000,2023-11-08 10:59:27.091000+00:00,Mascara,Makeup; Eyes; Mascara,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,0.0,0,0,0,0,0,7,352000.0,2023,11,294,140,0.6547042297722925,-0.2326231515318768,-0.2267680750016787,0.711409763690696,1.3808973805868072,0.7345728421001442,1,Silent Newcomers
796_3ce,[ 3CE x TOILETPAPER]   MAKEUP FIX POWDER,98429,110,Rp 581.000,2022-12-11 14:59:10.389000+00:00,Pressed Powder,Makeup; Face; Pressed Powder,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,3,4,0,0,4,109,581000.0,2022,12,294,162,1.689772793776849,-0.2291020725868713,-0.2203745459880014,1.57995640299714,1.3808973805868072,1.132904532072602,3,High-End Luxury
796_3ce,SOFT MATTE LIPSTICK,98409,60,Rp 317.000,2022-09-30 17:10:12.816000+00:00,Lipstick,Makeup; Lips; Lipstick,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.844444444444445,4,9,0,0,9,243,317000.0,2022,9,294,130,0.4965059776318581,-0.2279283796052028,-0.2123826347209047,0.4942731038640849,1.3808973805868072,0.5535129830217543,0,Reliable Daily Drivers
796_3ce,EYEBROW MASCARA,97803,50,Rp 219.000 - Rp 264.000,2022-10-03 03:33:20.771000+00:00,Mascara,Makeup; Eyes; Mascara,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.7333333333333325,5,9,0,1,8,28,241500.0,2022,10,294,140,0.1552497480146353,-0.2267546866235343,-0.2139810169743241,0.2771364440374739,1.3808973805868072,0.7345728421001442,0,Reliable Daily Drivers
796_3ce,[  3CEx TOILETPAPER]   MOOD RECIPE FACE BLUSH,98433,70,Rp 352.000,2022-12-11 14:59:42.326000+00:00,Blush,Makeup; Face; Blush,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,0.0,0,0,0,0,0,17,352000.0,2022,12,294,14,0.6547042297722925,-0.2326231515318768,-0.2267680750016787,0.711409763690696,1.3808973805868072,-1.5467813822875678,1,Silent Newcomers
796_3ce,EYE SWITCH,98312,50,Rp 264.000,2022-09-30 17:01:17.844000+00:00,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,2,6,0,0,6,285,264000.0,2022,9,294,70,0.2569486243906289,-0.2302757655685398,-0.2171777814811627,0.2771364440374739,1.3808973805868072,-0.5328461714485847,0,Reliable Daily Drivers
796_3ce,SYRUP LAYERING TINT,98430,50,Rp 264.000,2022-12-11 14:54:04.189000+00:00,Lip Tint,Makeup; Lips; Lip Tint,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.876923076923077,5,12,0,1,12,395,264000.0,2022,12,294,127,0.2569486243906289,-0.2267546866235343,-0.2075874879606467,0.2771364440374739,1.3808973805868072,0.4991950252982374,0,Reliable Daily Drivers
796_3ce,NEW TAKE FACE BLUSHER,98431,70,Rp 352.000,2022-12-11 15:00:16.328000+00:00,Blush,Makeup; Face; Blush,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,1,6,0,0,6,252,352000.0,2022,12,294,14,0.6547042297722925,-0.2314494585502083,-0.2171777814811627,0.711409763690696,1.3808973805868072,-1.5467813822875678,0,Reliable Daily Drivers
796_3ce,TATTOO LIP TINT,102642,40,Rp 229.000,2023-03-13 04:04:51.181000+00:00,Lip Tint,Makeup; Lips; Lip Tint,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,2,7,0,0,7,148,229000.0,2023,3,294,127,0.0987503722501945,-0.2302757655685398,-0.2155793992277434,0.0599997842108628,1.3808973805868072,0.4991950252982374,0,Reliable Daily Drivers
796_3ce,Glaze Lip Tint,107426,50,Rp 264.000,2023-11-08 10:58:38.537000+00:00,Lip Tint,Makeup; Lips; Lip Tint,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,0.0,0,0,0,0,0,19,264000.0,2023,11,294,127,0.2569486243906289,-0.2326231515318768,-0.2267680750016787,0.2771364440374739,1.3808973805868072,0.4991950252982374,1,Silent Newcomers
